Value,Gender,Age group,3,10,50,90,97
IQR,1,[60-70],7.873265401,10.5530808,18.93994941,27.32681802,30.00663342
J_index,2,[40-50),5.137387127,6.682695726,11.52063955,16.35877387,17.90409533
J_index,2,[50-60),5.718111384,7.263382329,12.10120827,16.9389656,18.48421137
J_index,2,[60-70],6.378788497,7.924235247,12.76261159,17.60098793,19.14643468
J_index,0,[40-50),5.193857058,6.642960984,11.17881488,15.71461064,17.16377601
J_index,0,[50-60),5.88811788,7.337788953,11.87520016,16.41261137,17.86228245
J_index,0,[60-70],6.558647659,8.007601508,12.54276784,17.07793417,18.52688801
J_index,1,[40-50),5.054900885,6.699175647,11.84558003,16.99130234,18.63549
J_index,1,[50-60),5.532012074,7.176794647,12.32437882,17.471963,19.11674558
J_index,1,[60-70],6.335318357,7.979841787,13.12661494,18.27338809,19.91791152
M value,2,[40-50),-1.630595181,-0.993650293,1.000448039,2.994543773,3.631490531
M value,2,[50-60),-1.552592894,-0.915692426,1.078309868,3.072292712,3.709188858
M value,2,[60-70],-1.404251288,-0.767270643,1.226943703,3.221158049,3.858138694
M value,0,[40-50),-1.257967001,-0.7199873,0.963867176,2.647721652,3.185701353
M value,0,[50-60),-1.223759271,-0.685537649,0.998967904,2.683523828,3.221697047
M value,0,[60-70],-1.096770724,-0.558811505,1.124978866,2.808769237,3.346728456
M value,1,[40-50),-2.007497363,-1.271623895,1.03139821,3.335250023,4.071741264
M value,1,[50-60),-1.90560962,-1.169678567,1.133523759,3.436726085,4.172657139
M value,1,[60-70],-1.651021118,-0.915206013,1.387633432,3.690472877,4.426287982
MAD,2,[40-50),4.093306384,5.827231759,11.25568377,16.68413578,18.41806115
MAD,2,[50-60),4.626513339,6.3603229,11.78841233,17.21650175,18.95031131
MAD,2,[60-70],5.396106228,7.13012964,12.55888858,17.98764751,19.72167092
MAD,0,[40-50),4.390801289,6.025213753,11.14085797,16.25650218,17.89091464
MAD,0,[50-60),4.754360603,6.388991491,11.50527717,16.62150037,18.2561836
MAD,0,[60-70],5.383762312,7.018112553,12.13356201,17.24901146,18.8833617
MAD,1,[40-50),3.802967527,5.637210894,11.37773994,17.11826898,18.95251235
MAD,1,[50-60),4.399588792,6.233975696,11.97495396,17.71593222,19.55031913
MAD,1,[60-70],5.619302128,7.453400015,13.19347376,18.9335475,20.76764539
MAGE,2,[40-50),9.06042633,12.39513465,22.83519739,33.27526683,36.6099731
MAGE,2,[50-60),10.29527043,13.62938737,24.06760693,34.5058265,37.83994344
MAGE,2,[60-70],11.90401758,15.23855407,25.67808714,36.11762021,39.4521567
MAGE,0,[40-50),9.295710938,12.63677046,23.0941502,33.55152994,36.89258946
MAGE,0,[50-60),10.20292588,13.54440842,24.00304645,34.46166274,37.80312514
MAGE,0,[60-70],11.77025721,15.11118953,25.56817115,36.02515277,39.36608509
MAGE,1,[40-50),8.992338691,12.33048401,22.77758064,33.2245368,36.56275871
MAGE,1,[50-60),10.20436374,13.54164505,23.98614802,34.43065099,37.7679323
MAGE,1,[60-70],12.04349541,15.38025091,25.8231083,36.26596569,39.60272119
% above 140 (log odds),2,[40-50),-24.32172825,-20.52180391,-8.62528955,3.272235874,7.072152854
% above 140 (log odds),2,[50-60),-23.36139987,-19.5616407,-7.665597053,4.230658938,8.030401689
% above 140 (log odds),2,[60-70],-21.77348735,-17.97326035,-6.075803423,5.821705982,9.621913796
% above 140 (log odds),0,[40-50),-25.04107219,-21.21605292,-9.24389896,2.728255003,6.553274267
% above 140 (log odds),0,[50-60),-23.58081,-19.75404307,-7.776418972,4.201205124,8.027972058
% above 140 (log odds),0,[60-70],-22.09290775,-18.26803411,-6.296335935,5.675362239,9.500235882
% above 140 (log odds),1,[40-50),-24.01942517,-20.23651433,-8.395576711,3.443684783,7.227320529
% above 140 (log odds),1,[50-60),-23.19195057,-19.40762614,-7.564037303,4.279551538,8.063875963
% above 140 (log odds),1,[60-70],-21.57436208,-17.79063389,-5.948911066,5.89281176,9.676539946
% above 180 (log odds),2,[40-50),-35.35654889,-31.64191662,-20.01231198,-8.382676518,-4.668004339
% above 180 (log odds),2,[50-60),-34.6792806,-30.96458312,-19.33523617,-7.705761276,-3.991121221
% above 180 (log odds),2,[60-70],-33.17468583,-29.45961137,-17.8287167,-6.197822025,-2.482747566
% above 180 (log odds),0,[40-50),-35.36611762,-31.66785051,-20.09248906,-8.517354452,-4.819180089
% above 180 (log odds),0,[50-60),-34.66770236,-30.96903025,-19.39273201,-7.816259922,-4.117649367
% above 180 (log odds),0,[60-70],-33.31579421,-29.61776064,-18.0430667,-6.468372768,-2.770339196
% above 180 (log odds),1,[40-50),-35.64024933,-31.88916427,-20.14851519,-8.408943449,-4.657491714
% above 180 (log odds),1,[50-60),-34.6519559,-30.8995606,-19.15589856,-7.41223653,-3.659841233
% above 180 (log odds),1,[60-70],-33.23355885,-29.48175476,-17.739943,-5.998131234,-2.246327144
% above 200 (log odds),2,[40-50),-31.80244761,-29.45460018,-22.10412404,-14.75374492,-12.40590884
% above 200 (log odds),2,[50-60),-31.45826702,-29.11060964,-21.76068976,-14.41084735,-12.06318997
% above 200 (log odds),2,[60-70],-30.66370515,-28.31576357,-20.96499269,-13.61422181,-11.26628023
% above 200 (log odds),0,[40-50),-31.75554322,-29.42946617,-22.14894009,-14.868414,-12.54233695
% above 200 (log odds),0,[50-60),-31.41974377,-29.09305139,-21.81076149,-14.52855885,-12.20182722
% above 200 (log odds),0,[60-70],-30.82420606,-28.49821756,-21.21796865,-13.93771974,-11.61173125
% above 200 (log odds),1,[40-50),-31.98410948,-29.60358034,-22.15337121,-14.70316208,-12.32263294
% above 200 (log odds),1,[50-60),-31.63167705,-29.25096162,-21.80016948,-14.34937735,-11.96866192
% above 200 (log odds),1,[60-70],-30.68773483,-28.3073945,-20.85777627,-13.40815804,-11.02781771
% above 250 (log odds),2,[40-50),-25.49219022,-24.88265369,-22.97435949,-21.0660473,-20.45646948
% above 250 (log odds),2,[50-60),-25.46054844,-24.85103897,-22.94281422,-21.03461507,-20.42511661
% above 250 (log odds),2,[60-70],-25.4433795,-24.83379966,-22.92536983,-21.01694,-20.40736016
% above 250 (log odds),0,[40-50),-25.4299852,-24.82964842,-22.95061679,-21.07158202,-20.47124007
% above 250 (log odds),0,[50-60),-25.43645593,-24.83593235,-22.95642037,-21.07687918,-20.47637132
% above 250 (log odds),0,[60-70],-25.41005507,-24.80973494,-22.93075745,-21.05177997,-20.45145983
% above 250 (log odds),1,[40-50),-25.54086152,-24.91794663,-22.96844471,-21.01894278,-20.3960279
% above 250 (log odds),1,[50-60),-25.53223768,-24.90929543,-22.95986283,-21.01045211,-20.38762314
% above 250 (log odds),1,[60-70],-25.44678131,-24.82391583,-22.87456853,-20.92522122,-20.30235574
% below 54 (log odds),2,[40-50),-34.86412817,-30.33913329,-16.17303191,-2.006852154,2.518067151
% below 54 (log odds),2,[50-60),-35.36742615,-30.84263017,-16.67666953,-2.51061153,2.014286406
% below 54 (log odds),2,[60-70],-36.49270571,-31.96746833,-17.80017239,-3.632876455,0.892360921
% below 54 (log odds),0,[40-50),-34.15394529,-29.57226318,-15.23135511,-0.890416567,3.691312815
% below 54 (log odds),0,[50-60),-35.33550854,-30.75290505,-16.40957569,-2.066233941,2.516250719
% below 54 (log odds),0,[60-70],-36.15605109,-31.57443714,-17.23417271,-2.893908286,1.687705671
% below 54 (log odds),1,[40-50),-35.51119292,-31.05831717,-17.12247247,-3.186906095,1.266391696
% below 54 (log odds),1,[50-60),-35.46375644,-31.01043251,-17.07193451,-3.134058283,1.319685716
% below 54 (log odds),1,[60-70],-36.43522404,-31.98286826,-18.04857897,-4.114289683,0.338066102
% below 70 (log odds),2,[40-50),-24.58813786,-20.38222296,-7.214379987,5.953234853,10.15915302
% below 70 (log odds),2,[50-60),-25.27859479,-21.07271949,-7.90525993,5.262199626,9.468074932
% below 70 (log odds),2,[60-70],-25.66589251,-21.45983062,-8.291463538,4.876905034,9.083089704
% below 70 (log odds),0,[40-50),-22.77876802,-18.79538494,-6.327685517,6.140044873,10.12343849
% below 70 (log odds),0,[50-60),-23.9879646,-20.00373452,-7.533320627,4.937095966,8.921336236
% below 70 (log odds),0,[60-70],-24.15154608,-20.16850197,-7.701736685,4.765028597,8.748072711
% below 70 (log odds),1,[40-50),-26.45969459,-22.01599591,-8.110570709,5.794931754,10.23888265
% below 70 (log odds),1,[50-60),-26.95934315,-22.51573583,-8.60877931,5.297955906,9.741519282
% below 70 (log odds),1,[60-70],-27.29961298,-22.8564108,-8.950769006,4.954872783,9.398074972
% in 63-140 (log odds),2,[40-50),-3.822458399,-1.749377674,4.740836764,11.23106773,13.3041568
% in 63-140 (log odds),2,[50-60),-4.083046944,-2.009990375,4.480059007,10.97006107,13.04306074
% in 63-140 (log odds),2,[60-70],-4.448597459,-2.375330918,4.115418014,10.6061884,12.67945307
% in 63-140 (log odds),0,[40-50),-3.488011193,-1.523791619,4.62413537,10.77206236,12.73628193
% in 63-140 (log odds),0,[50-60),-3.667300841,-1.702183805,4.4485522,10.59928821,12.56440524
% in 63-140 (log odds),0,[60-70],-3.961232649,-1.997087854,4.150605079,10.29829801,12.26244281
% in 63-140 (log odds),1,[40-50),-4.233970331,-2.030433332,4.86585337,11.76214007,13.96567707
% in 63-140 (log odds),1,[50-60),-4.53576533,-2.332048477,4.564625614,11.46129929,13.66496936
% in 63-140 (log odds),1,[60-70],-5.041956432,-2.838594203,4.057145534,10.95288527,13.1562475
% in 70-180 (log odds),2,[40-50),-8.674465563,-5.0574547,6.266463871,17.59045746,21.20750334
% in 70-180 (log odds),2,[50-60),-8.35619718,-4.739303161,6.583772464,17.90714264,21.52391984
% in 70-180 (log odds),2,[60-70],-8.453434163,-4.836297577,6.487980069,17.81225772,21.4293943
% in 70-180 (log odds),0,[40-50),-8.609326383,-5.178617711,5.559325472,16.29728956,19.72799382
% in 70-180 (log odds),0,[50-60),-7.886924524,-4.454796332,6.287624633,17.0300456,20.46217379
% in 70-180 (log odds),0,[60-70],-8.089834252,-4.659404104,6.077702055,16.81480821,20.24523836
% in 70-180 (log odds),1,[40-50),-8.755390493,-4.935958581,7.019511658,18.97496768,22.79439472
% in 70-180 (log odds),1,[50-60),-8.841018455,-5.020456108,6.936642713,18.89392464,22.71464035
% in 70-180 (log odds),1,[60-70],-9.168277587,-5.348076035,6.60779545,18.56366693,22.38386849
Range,2,[40-50),45.69658091,58.63379511,99.1385369,139.6432671,152.581336
Range,2,[50-60),49.51376725,62.44964114,102.9483683,143.4470954,156.3829693
Range,2,[60-70],54.19965271,67.1371544,107.6409777,148.1448011,161.0823027
Range,0,[40-50),47.07157634,59.89114675,100.0158782,140.1406096,152.9601801
Range,0,[50-60),50.37789264,63.19860668,103.3280385,143.4571243,156.2782642
Range,0,[60-70],55.07313588,67.89221825,108.0154221,148.138626,160.9577083
Range,1,[40-50),44.07958989,57.19135967,98.22558909,139.2594322,152.3707768
Range,1,[50-60),47.3356788,60.44932127,101.4903559,142.5313905,155.645033
Range,1,[60-70],53.39233179,66.50390814,107.5384765,148.5730449,161.6846213
SD,2,[40-50),6.031659819,7.957943939,13.98862991,20.01931275,21.94559372
SD,2,[50-60),6.789878797,8.715813821,14.74539618,20.77497854,22.70091362
SD,2,[60-70],7.756723824,9.682894223,15.71321348,21.74353273,23.66970313
SD,0,[40-50),6.24832522,8.134069183,14.03637072,19.93867225,21.82441622
SD,0,[50-60),6.863836685,8.749793362,14.65264003,20.55557483,22.44147817
SD,0,[60-70],7.735662952,9.621335124,15.52341195,21.42548878,23.31116096
SD,1,[40-50),5.835892948,7.813141249,14.00086682,20.18857469,22.16571796
SD,1,[50-60),6.544546594,8.521170502,14.70729997,20.89342945,22.87005335
SD,1,[60-70],7.842377025,9.818689506,16.00384432,22.18899914,24.16531162
Min,2,[40-50),32.28777369,38.66432196,58.62757226,78.59135782,84.96790576
Min,2,[50-60),33.24621351,39.6227359,59.58539679,79.54819387,85.92471593
Min,2,[60-70],34.42022103,40.79743456,60.76334048,80.72925113,87.10673344
Min,0,[40-50),31.94116947,38.06664196,57.23912051,76.4118616,82.53766257
Min,0,[50-60),33.53992414,39.66659621,58.8428649,78.01910757,84.14565352
Min,0,[60-70],34.50299377,40.62823306,59.79998169,78.97173033,85.09696962
Min,1,[40-50),32.67079274,39.30783805,60.08062721,80.85239176,87.48959262
Min,1,[50-60),33.29070493,39.92873153,60.70444161,81.48034236,88.1187468
Min,1,[60-70],34.25634462,40.89386359,61.66693609,82.44000859,89.07752756
1st quartile,2,[40-50),60.68711034,66.11489696,83.10783083,100.1014558,105.5292422
1st quartile,2,[50-60),62.34532817,67.77290605,84.76518639,101.7574667,107.1850511
1st quartile,2,[60-70],63.51590592,68.94419518,85.93870262,102.9332101,108.3614993
1st quartile,0,[40-50),60.69646529,65.82588821,81.88014869,97.93443465,103.0638647
